"","x","y","row","col","tipe","jenis","sistem"
"272",8.85,6.75,3,2,"karet","karet","kompleks"
"273",8.85,9.45,4,2,"karet","karet","kompleks"
"274",8.85,12.15,5,2,"karet","karet","kompleks"
"275",8.85,14.85,6,2,"karet","karet","kompleks"
"276",8.85,17.55,7,2,"karet","karet","kompleks"
"277",8.85,20.25,8,2,"karet","karet","kompleks"
"278",8.85,22.95,9,2,"karet","karet","kompleks"
"279",8.85,25.65,10,2,"karet","karet","kompleks"
"280",8.85,28.35,11,2,"karet","karet","kompleks"
"281",8.85,31.05,12,2,"karet","karet","kompleks"
"282",8.85,33.75,13,2,"karet","karet","kompleks"
"283",8.85,36.45,14,2,"karet","karet","kompleks"
"284",8.85,39.15,15,2,"karet","karet","kompleks"
"285",8.85,41.85,16,2,"karet","karet","kompleks"
"286",8.85,44.55,17,2,"karet","karet","kompleks"
"287",8.85,47.25,18,2,"karet","karet","kompleks"
"288",8.85,49.95,19,2,"karet","karet","kompleks"
"289",23.85,0,1,3,"karet","karet","kompleks"
"290",23.85,2.7,2,3,"karet","karet","kompleks"
"291",23.85,5.4,3,3,"karet","karet","kompleks"
"292",23.85,8.1,4,3,"karet","karet","kompleks"
"293",23.85,10.8,5,3,"karet","karet","kompleks"
"294",23.85,13.5,6,3,"karet","karet","kompleks"
"295",23.85,16.2,7,3,"karet","karet","kompleks"
"296",23.85,18.9,8,3,"karet","karet","kompleks"
"297",23.85,21.6,9,3,"karet","karet","kompleks"
"298",23.85,24.3,10,3,"karet","karet","kompleks"
"299",23.85,27,11,3,"karet","karet","kompleks"
"300",23.85,29.7,12,3,"karet","karet","kompleks"
"301",23.85,32.4,13,3,"karet","karet","kompleks"
"302",23.85,35.1,14,3,"karet","karet","kompleks"
"303",23.85,37.8,15,3,"karet","karet","kompleks"
"304",23.85,40.5,16,3,"karet","karet","kompleks"
"305",23.85,43.2,17,3,"karet","karet","kompleks"
"306",23.85,45.9,18,3,"karet","karet","kompleks"
"307",23.85,48.6,19,3,"karet","karet","kompleks"
"308",26.15,1.35,1,4,"karet","karet","kompleks"
"309",26.15,4.05,2,4,"karet","karet","kompleks"
"310",26.15,6.75,3,4,"karet","karet","kompleks"
"311",26.15,9.45,4,4,"karet","karet","kompleks"
"312",26.15,12.15,5,4,"karet","karet","kompleks"
"313",26.15,14.85,6,4,"karet","karet","kompleks"
"314",26.15,17.55,7,4,"karet","karet","kompleks"
"315",26.15,20.25,8,4,"karet","karet","kompleks"
"316",26.15,22.95,9,4,"karet","karet","kompleks"
"317",26.15,25.65,10,4,"karet","karet","kompleks"
"318",26.15,28.35,11,4,"karet","karet","kompleks"
"319",26.15,31.05,12,4,"karet","karet","kompleks"
"320",26.15,33.75,13,4,"karet","karet","kompleks"
"321",26.15,36.45,14,4,"karet","karet","kompleks"
"322",26.15,39.15,15,4,"karet","karet","kompleks"
"323",26.15,41.85,16,4,"karet","karet","kompleks"
"324",26.15,44.55,17,4,"karet","karet","kompleks"
"325",26.15,47.25,18,4,"karet","karet","kompleks"
"326",26.15,49.95,19,4,"karet","karet","kompleks"
"327",41.15,0,1,5,"karet","karet","kompleks"
"328",41.15,2.7,2,5,"karet","karet","kompleks"
"329",41.15,5.4,3,5,"karet","karet","kompleks"
"330",41.15,8.1,4,5,"karet","karet","kompleks"
"331",41.15,10.8,5,5,"karet","karet","kompleks"
"332",41.15,13.5,6,5,"karet","karet","kompleks"
"333",41.15,16.2,7,5,"karet","karet","kompleks"
"334",41.15,18.9,8,5,"karet","karet","kompleks"
"335",41.15,21.6,9,5,"karet","karet","kompleks"
"336",41.15,24.3,10,5,"karet","karet","kompleks"
"337",41.15,27,11,5,"karet","karet","kompleks"
"338",41.15,29.7,12,5,"karet","karet","kompleks"
"339",41.15,32.4,13,5,"karet","karet","kompleks"
"340",41.15,35.1,14,5,"karet","karet","kompleks"
"341",41.15,37.8,15,5,"karet","karet","kompleks"
"342",41.15,40.5,16,5,"karet","karet","kompleks"
"343",41.15,43.2,17,5,"karet","karet","kompleks"
"344",41.15,45.9,18,5,"karet","karet","kompleks"
"345",41.15,48.6,19,5,"karet","karet","kompleks"
"346",43.45,1.35,1,6,"karet","karet","kompleks"
"347",43.45,4.05,2,6,"karet","karet","kompleks"
"348",43.45,6.75,3,6,"karet","karet","kompleks"
"349",43.45,9.45,4,6,"karet","karet","kompleks"
"350",43.45,12.15,5,6,"karet","karet","kompleks"
"351",43.45,14.85,6,6,"karet","karet","kompleks"
"352",43.45,17.55,7,6,"karet","karet","kompleks"
"353",43.45,20.25,8,6,"karet","karet","kompleks"
